,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
367,Low,18.0,,furniture/equipment,3650.0,Very Low,Short,1.0,Female,none,4.0,car,22.0,none,rent,1.0,Qualified,1.0,none,yes,good
368,Low,36.0,,furniture/equipment,3446.0,Very Low,Very Long,4.0,Male,none,2.0,car,42.0,none,own,1.0,Qualified,2.0,none,yes,bad
369,Medium,18.0,,furniture/equipment,3001.0,Very Low,Long,2.0,Female,none,4.0,real estate,40.0,none,rent,1.0,Qualified,1.0,none,yes,good
370,Unknown,36.0,,new car,3079.0,Unknown,Medium,4.0,Male,none,4.0,real estate,36.0,none,own,1.0,Qualified,1.0,none,yes,good
371,Unknown,18.0,,radio/tv,6070.0,Very Low,Very Long,3.0,Male,none,4.0,car,33.0,none,own,2.0,Qualified,1.0,yes,yes,good
372,Unknown,10.0,,furniture/equipment,2146.0,Very Low,Short,1.0,Female,none,3.0,real estate,23.0,none,rent,2.0,Qualified,1.0,none,yes,good
373,Unknown,60.0,,new car,13756.0,Unknown,Very Long,2.0,Male,none,4.0,no known property,63.0,bank,for free,1.0,High Qualified,1.0,yes,yes,good
374,Medium,60.0,,other,14782.0,Low,Very Long,3.0,Female,none,4.0,no known property,60.0,bank,for free,2.0,High Qualified,1.0,yes,yes,bad
375,Low,48.0,,business,7685.0,Very Low,Long,2.0,Female,guarantor,4.0,car,37.0,none,rent,1.0,Qualified,1.0,none,yes,bad
376,Unknown,18.0,,radio/tv,2320.0,Very Low,,2.0,Male,none,3.0,real estate,34.0,none,own,2.0,Qualified,1.0,none,yes,good
377,Unknown,7.0,,radio/tv,846.0,Unknown,Very Long,3.0,Male,none,4.0,no known property,36.0,none,for free,1.0,Qualified,1.0,none,yes,good
378,Medium,36.0,,new car,14318.0,Very Low,Very Long,4.0,Male,none,2.0,no known property,57.0,none,for free,1.0,High Qualified,1.0,yes,yes,bad
379,Unknown,6.0,,new car,362.0,Low,Medium,4.0,Female,none,4.0,car,52.0,none,own,2.0,Unqualified,1.0,none,yes,good
380,Low,20.0,,furniture/equipment,2212.0,Unknown,Long,4.0,Male,none,4.0,car,39.0,none,own,1.0,Qualified,1.0,yes,yes,good
381,Medium,18.0,,used car,12976.0,Very Low,,3.0,Female,none,4.0,no known property,38.0,none,for free,1.0,High Qualified,1.0,yes,yes,bad
382,Unknown,22.0,,new car,1283.0,Unknown,Long,4.0,Female,none,4.0,life insurance,25.0,none,rent,1.0,Qualified,1.0,none,yes,good
383,High,12.0,,new car,1330.0,Very Low,Short,4.0,Male,none,1.0,real estate,26.0,none,own,1.0,Qualified,1.0,none,yes,good
384,Unknown,30.0,,business,4272.0,Low,Medium,2.0,Male,none,2.0,life insurance,26.0,none,own,2.0,Unqualified,1.0,none,yes,good
385,Unknown,18.0,,radio/tv,2238.0,Very Low,Medium,2.0,Female,none,1.0,car,25.0,none,own,2.0,Qualified,1.0,none,yes,good
386,Unknown,18.0,,radio/tv,1126.0,Unknown,Short,4.0,Female,none,2.0,real estate,21.0,none,rent,1.0,Qualified,1.0,yes,yes,good
387,Medium,18.0,,furniture/equipment,7374.0,Very Low,,4.0,Male,none,4.0,life insurance,40.0,stores,own,2.0,High Qualified,1.0,yes,yes,good
388,Medium,15.0,,business,2326.0,Medium,Medium,2.0,Male,none,4.0,car,27.0,bank,own,1.0,Qualified,1.0,none,yes,good
389,Unknown,9.0,,business,1449.0,Very Low,Long,3.0,Female,none,2.0,car,27.0,none,own,2.0,Qualified,1.0,none,yes,good
390,Unknown,18.0,,new car,1820.0,Very Low,Medium,2.0,Male,none,2.0,life insurance,30.0,none,own,1.0,High Qualified,1.0,yes,yes,good
391,Medium,12.0,,furniture/equipment,983.0,High,Short,1.0,Female,none,4.0,real estate,19.0,none,rent,1.0,Unqualified,1.0,none,yes,good
392,Low,36.0,,new car,3249.0,Very Low,Long,2.0,Male,none,4.0,no known property,39.0,bank,for free,1.0,High Qualified,2.0,yes,yes,good
393,Low,6.0,,radio/tv,1957.0,Very Low,Long,1.0,Female,none,4.0,car,31.0,none,own,1.0,Qualified,1.0,none,yes,good
394,Unknown,9.0,,furniture/equipment,2406.0,Very Low,,2.0,Male,none,3.0,car,31.0,none,own,1.0,High Qualified,1.0,none,yes,good
395,Medium,39.0,,education,11760.0,Low,Long,2.0,Male,none,3.0,no known property,32.0,none,rent,1.0,Qualified,1.0,yes,yes,good
396,Low,12.0,,furniture/equipment,2578.0,Very Low,,3.0,Female,none,4.0,no known property,55.0,none,for free,1.0,High Qualified,1.0,none,yes,good
397,Low,36.0,,furniture/equipment,2348.0,Very Low,Medium,3.0,Male,none,2.0,life insurance,46.0,none,own,2.0,Qualified,1.0,yes,yes,good
398,Medium,12.0,,new car,1223.0,Very Low,Very Long,1.0,Male,none,1.0,real estate,46.0,none,rent,2.0,Qualified,1.0,none,yes,bad
399,Unknown,24.0,,radio/tv,1516.0,High,Medium,4.0,Female,none,1.0,real estate,43.0,none,own,2.0,Unqualified,1.0,none,yes,good
400,Unknown,18.0,,radio/tv,1473.0,Very Low,Short,3.0,Male,none,4.0,real estate,39.0,none,own,1.0,Qualified,1.0,yes,yes,good
401,Medium,18.0,,business,1887.0,Unknown,Medium,4.0,Male,none,4.0,real estate,28.0,bank,own,2.0,Qualified,1.0,none,yes,good
402,Unknown,24.0,,business,8648.0,Very Low,Short,2.0,Male,none,2.0,car,27.0,bank,own,2.0,Qualified,1.0,yes,yes,bad
403,Unknown,14.0,,new car,802.0,Very Low,Medium,4.0,Male,none,2.0,car,27.0,none,own,2.0,Unqualified,1.0,none,yes,good
404,Medium,18.0,,new car,2899.0,Unknown,Very Long,4.0,Male,none,4.0,car,43.0,none,own,1.0,Qualified,2.0,none,yes,good
405,Medium,24.0,,radio/tv,2039.0,Very Low,Short,1.0,Male,none,1.0,life insurance,22.0,none,own,1.0,Qualified,1.0,yes,yes,bad
406,Unknown,24.0,,used car,2197.0,Unknown,Long,4.0,Male,none,4.0,car,43.0,none,own,2.0,Qualified,2.0,yes,yes,good
407,Low,15.0,,radio/tv,1053.0,Very Low,Short,4.0,Male,none,2.0,real estate,27.0,none,own,1.0,Qualified,1.0,none,no,good
408,Unknown,24.0,,radio/tv,3235.0,Medium,Very Long,3.0,Male,none,2.0,car,26.0,none,own,1.0,High Qualified,1.0,yes,yes,good
409,High,12.0,,new car,939.0,Medium,Long,4.0,Male,none,2.0,real estate,28.0,none,own,3.0,Qualified,1.0,yes,yes,bad
410,Medium,24.0,,radio/tv,1967.0,Very Low,Very Long,4.0,Female,none,4.0,car,20.0,none,own,1.0,Qualified,1.0,yes,yes,good
411,Unknown,33.0,,used car,7253.0,Very Low,Long,3.0,Male,none,2.0,car,35.0,none,own,2.0,High Qualified,1.0,yes,yes,good
412,Unknown,12.0,,business,2292.0,Very Low,,4.0,Male,none,2.0,car,42.0,stores,own,2.0,High Qualified,1.0,yes,yes,bad
413,Unknown,10.0,,new car,1597.0,Medium,Medium,3.0,Male,none,2.0,no known property,40.0,none,rent,1.0,Unqualified,2.0,none,no,good
414,Low,24.0,,new car,1381.0,Unknown,Medium,4.0,Female,none,2.0,life insurance,35.0,none,own,1.0,Qualified,1.0,none,yes,bad
415,Unknown,36.0,,used car,5842.0,Very Low,Very Long,2.0,Male,none,2.0,life insurance,35.0,none,own,2.0,Qualified,2.0,yes,yes,good
416,Low,12.0,,new car,2579.0,Very Low,Short,4.0,Male,none,1.0,real estate,33.0,none,own,1.0,Unqualified,2.0,none,yes,bad
417,Low,18.0,,education,8471.0,Unknown,Medium,1.0,Female,none,2.0,car,23.0,none,rent,2.0,Qualified,1.0,yes,yes,good
418,Unknown,21.0,,new car,2782.0,Medium,Long,1.0,Female,none,2.0,car,31.0,bank,own,1.0,High Qualified,1.0,none,yes,good
419,Medium,18.0,,new car,1042.0,Unknown,Medium,4.0,Female,none,2.0,life insurance,33.0,none,own,1.0,Qualified,1.0,none,yes,bad
420,Unknown,15.0,,new car,3186.0,High,Long,2.0,Female,none,3.0,car,20.0,none,rent,1.0,Qualified,1.0,none,yes,good
421,Medium,12.0,,used car,2028.0,Unknown,Medium,4.0,Male,none,2.0,car,30.0,none,own,1.0,Qualified,1.0,none,yes,good
422,Medium,12.0,,new car,958.0,Very Low,Long,2.0,Male,none,3.0,real estate,47.0,none,own,2.0,Unqualified,2.0,none,yes,good
423,Unknown,21.0,,furniture/equipment,1591.0,Low,Long,4.0,Male,none,3.0,real estate,34.0,none,own,2.0,High Qualified,1.0,none,yes,good
424,Medium,12.0,,furniture/equipment,2762.0,Unknown,Very Long,1.0,Female,none,2.0,life insurance,25.0,bank,own,1.0,Qualified,1.0,yes,yes,bad
425,Medium,18.0,,used car,2779.0,Very Low,Medium,1.0,Male,none,3.0,car,21.0,none,rent,1.0,Qualified,1.0,yes,yes,good
426,Unknown,28.0,,radio/tv,2743.0,Very Low,Very Long,4.0,Male,none,2.0,car,29.0,none,own,2.0,Qualified,1.0,none,yes,good
427,Unknown,18.0,,radio/tv,1149.0,High,Medium,4.0,Male,none,3.0,real estate,46.0,none,own,2.0,Qualified,1.0,none,yes,good
428,Unknown,9.0,,furniture/equipment,1313.0,Very Low,Very Long,1.0,Male,none,4.0,car,20.0,none,own,1.0,Qualified,1.0,none,yes,good
429,Low,18.0,,repairs,1190.0,Very Low,,2.0,Female,none,4.0,no known property,55.0,none,for free,3.0,Unemployed,2.0,none,yes,bad
430,Unknown,5.0,,business,3448.0,Very Low,Long,1.0,Male,none,4.0,real estate,74.0,none,own,1.0,Unqualified,1.0,none,yes,good
431,Medium,24.0,,other,11328.0,Very Low,Medium,2.0,Male,co applicant,3.0,car,29.0,bank,own,2.0,High Qualified,1.0,yes,yes,bad
432,Low,6.0,,furniture/equipment,1872.0,Very Low,,4.0,Male,none,4.0,no known property,36.0,none,for free,3.0,High Qualified,1.0,yes,yes,good
433,Unknown,24.0,,repairs,2058.0,Very Low,Medium,4.0,Male,none,2.0,real estate,33.0,none,own,2.0,Qualified,1.0,yes,yes,good
434,Low,9.0,,furniture/equipment,2136.0,Very Low,Medium,3.0,Male,none,2.0,real estate,25.0,none,own,1.0,Qualified,1.0,none,yes,good
435,Medium,12.0,,radio/tv,1484.0,Unknown,Medium,2.0,Male,none,1.0,real estate,25.0,none,own,1.0,Qualified,1.0,yes,yes,bad
436,Unknown,6.0,,repairs,660.0,Medium,Long,2.0,Male,none,4.0,real estate,23.0,none,rent,1.0,Unqualified,1.0,none,yes,good
437,Unknown,24.0,,new car,1287.0,High,Very Long,4.0,Female,none,4.0,real estate,37.0,none,own,2.0,Qualified,1.0,yes,yes,good
438,Low,42.0,,repairs,3394.0,Very Low,,4.0,Male,co applicant,4.0,car,65.0,none,own,2.0,Unemployed,1.0,none,yes,good
439,High,12.0,,business,609.0,Very Low,Short,4.0,Female,none,1.0,real estate,26.0,none,own,1.0,Unemployed,1.0,none,yes,bad
440,Unknown,12.0,,new car,1884.0,Very Low,Very Long,4.0,Male,none,4.0,car,39.0,none,own,1.0,High Qualified,1.0,yes,yes,good
441,Low,12.0,,furniture/equipment,1620.0,Very Low,Medium,2.0,Female,co applicant,3.0,life insurance,30.0,none,own,1.0,Qualified,1.0,none,yes,good
442,Medium,20.0,,other,2629.0,Very Low,Medium,2.0,Male,none,3.0,car,29.0,bank,own,2.0,Qualified,1.0,yes,yes,good
443,Unknown,12.0,,education,719.0,Very Low,Very Long,4.0,Male,none,4.0,car,41.0,bank,own,1.0,Unqualified,2.0,none,yes,bad
444,Medium,48.0,,furniture/equipment,5096.0,Very Low,Medium,2.0,Female,none,3.0,car,30.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
445,Unknown,9.0,,education,1244.0,Unknown,Very Long,4.0,Female,none,4.0,life insurance,41.0,none,rent,2.0,Unqualified,1.0,none,yes,good
446,Low,36.0,,new car,1842.0,Very Low,Short,4.0,Female,none,4.0,car,34.0,none,own,1.0,Qualified,1.0,yes,yes,bad
447,Medium,7.0,,radio/tv,2576.0,Very Low,Medium,2.0,Male,guarantor,2.0,real estate,35.0,none,own,1.0,Qualified,1.0,none,yes,good
448,High,12.0,,furniture/equipment,1424.0,Unknown,Very Long,3.0,Female,none,4.0,real estate,55.0,none,own,1.0,High Qualified,1.0,yes,yes,good
449,Medium,15.0,,repairs,1512.0,High,Medium,3.0,Male,none,3.0,life insurance,61.0,stores,own,2.0,Qualified,1.0,none,yes,bad
450,Unknown,36.0,,used car,11054.0,Unknown,Medium,4.0,Male,none,2.0,car,30.0,none,own,1.0,High Qualified,1.0,yes,yes,good
451,Unknown,6.0,,radio/tv,518.0,Very Low,Medium,3.0,Female,none,1.0,real estate,29.0,none,own,1.0,Qualified,1.0,none,yes,good
452,Unknown,12.0,no credits,furniture/equipment,2759.0,Very Low,Very Long,2.0,Male,none,4.0,life insurance,34.0,none,own,2.0,Qualified,1.0,none,yes,good
453,Unknown,24.0,,used car,2670.0,Very Low,Very Long,4.0,Male,none,4.0,car,35.0,none,own,1.0,High Qualified,1.0,yes,yes,good
454,Low,24.0,,new car,4817.0,Very Low,Long,2.0,Male,co applicant,3.0,life insurance,31.0,none,own,1.0,Qualified,1.0,yes,yes,bad
455,Unknown,24.0,,used car,2679.0,Very Low,Short,4.0,Female,none,1.0,no known property,29.0,none,own,1.0,High Qualified,1.0,yes,yes,good
456,Low,11.0,,new car,3905.0,Very Low,Medium,2.0,Male,none,2.0,real estate,36.0,none,rent,2.0,Qualified,2.0,none,yes,good
457,Low,12.0,,used car,3386.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,35.0,none,for free,1.0,Qualified,1.0,yes,yes,bad
458,Low,6.0,,domestic appliance,343.0,Very Low,Short,4.0,Female,none,1.0,real estate,27.0,none,own,1.0,Qualified,1.0,none,yes,good
459,Unknown,18.0,,radio/tv,4594.0,Very Low,Short,3.0,Male,none,2.0,car,32.0,none,own,1.0,Qualified,1.0,yes,yes,good
460,Low,36.0,,furniture/equipment,3620.0,Very Low,Medium,1.0,Male,guarantor,2.0,life insurance,37.0,none,own,1.0,Qualified,2.0,none,yes,good
461,Low,15.0,,new car,1721.0,Very Low,Short,2.0,Male,none,3.0,real estate,36.0,none,own,1.0,Qualified,1.0,none,yes,good
462,Medium,12.0,,furniture/equipment,3017.0,Very Low,Short,3.0,Female,none,1.0,real estate,34.0,none,rent,1.0,High Qualified,1.0,none,yes,good
463,Medium,12.0,,retraining,754.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,38.0,none,own,2.0,Qualified,1.0,none,yes,good
464,Unknown,18.0,,business,1950.0,Very Low,Long,4.0,Male,none,1.0,car,34.0,stores,own,2.0,Qualified,1.0,yes,yes,good
465,Low,24.0,,used car,2924.0,Very Low,Medium,3.0,Male,guarantor,4.0,no known property,63.0,bank,own,1.0,Qualified,2.0,yes,yes,good
466,Low,24.0,,radio/tv,1659.0,Very Low,Short,4.0,Female,none,2.0,car,29.0,none,rent,1.0,Unqualified,1.0,yes,yes,bad
467,Unknown,48.0,,radio/tv,7238.0,Unknown,Very Long,3.0,Male,none,3.0,car,32.0,bank,own,2.0,Qualified,2.0,none,yes,good
468,Unknown,33.0,,business,2764.0,Very Low,Medium,2.0,Female,none,2.0,car,26.0,none,own,2.0,Qualified,1.0,yes,yes,good
469,Unknown,24.0,,used car,4679.0,Very Low,Long,3.0,Male,none,3.0,car,35.0,none,own,2.0,Unqualified,1.0,yes,yes,good
470,Medium,24.0,,radio/tv,3092.0,Low,Short,3.0,Male,none,2.0,car,22.0,none,rent,1.0,Qualified,1.0,yes,yes,bad
471,Low,6.0,,education,448.0,Very Low,Short,4.0,Female,none,4.0,life insurance,23.0,none,own,1.0,Qualified,1.0,none,yes,bad
472,Low,9.0,,new car,654.0,Very Low,Medium,4.0,Male,none,3.0,car,28.0,none,own,1.0,Unqualified,1.0,none,yes,bad
473,Unknown,6.0,,retraining,1238.0,Unknown,,4.0,Male,none,4.0,life insurance,36.0,none,own,1.0,High Qualified,2.0,yes,yes,good
474,Medium,18.0,,radio/tv,1245.0,Very Low,Medium,4.0,Male,none,2.0,car,33.0,none,own,1.0,Qualified,1.0,none,yes,bad
475,Low,18.0,no credits,furniture/equipment,3114.0,Very Low,Short,1.0,Female,none,4.0,life insurance,26.0,none,rent,1.0,Qualified,1.0,none,yes,bad
476,Unknown,39.0,,used car,2569.0,Medium,Medium,4.0,Male,none,4.0,car,24.0,none,own,1.0,Qualified,1.0,none,yes,good
477,High,24.0,,radio/tv,5152.0,Very Low,Long,4.0,Male,none,2.0,car,25.0,bank,own,1.0,Qualified,1.0,none,yes,good
478,Medium,12.0,,business,1037.0,Low,Long,3.0,Male,none,4.0,real estate,39.0,none,own,1.0,Unqualified,1.0,none,yes,good
479,Low,15.0,,furniture/equipment,1478.0,Very Low,Very Long,4.0,Male,none,4.0,car,44.0,none,own,2.0,Qualified,2.0,yes,yes,good
480,Medium,12.0,,radio/tv,3573.0,Very Low,Medium,1.0,Female,none,1.0,real estate,23.0,none,own,1.0,Unqualified,1.0,none,yes,good
481,Medium,24.0,,new car,1201.0,Very Low,Short,4.0,Male,none,1.0,life insurance,26.0,none,own,1.0,Qualified,1.0,none,yes,good
482,Low,30.0,,furniture/equipment,3622.0,High,Very Long,4.0,Female,none,4.0,life insurance,57.0,none,rent,2.0,Qualified,1.0,yes,yes,good
483,Unknown,15.0,,furniture/equipment,960.0,High,Long,3.0,Female,none,2.0,life insurance,30.0,none,own,2.0,Qualified,1.0,none,yes,good
484,Unknown,12.0,,new car,1163.0,Medium,Medium,4.0,Male,none,4.0,real estate,44.0,none,own,1.0,Qualified,1.0,yes,yes,good
485,Medium,6.0,,new car,1209.0,Very Low,,4.0,Male,none,4.0,life insurance,47.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
486,Unknown,12.0,,radio/tv,3077.0,Very Low,Medium,2.0,Male,none,4.0,car,52.0,none,own,1.0,Qualified,1.0,yes,yes,good
487,Unknown,24.0,,new car,3757.0,Very Low,Very Long,4.0,Female,co applicant,4.0,no known property,62.0,none,for free,1.0,Qualified,1.0,yes,yes,good
488,Unknown,10.0,,new car,1418.0,Low,Medium,3.0,Male,none,2.0,real estate,35.0,none,rent,1.0,Unqualified,1.0,none,no,good
489,Unknown,6.0,,new car,3518.0,Very Low,Medium,2.0,Male,guarantor,3.0,life insurance,26.0,none,rent,1.0,Qualified,1.0,none,yes,good
490,Unknown,12.0,,radio/tv,1934.0,Very Low,Very Long,2.0,Male,none,2.0,no known property,26.0,none,own,2.0,Qualified,1.0,none,yes,good
491,Medium,27.0,no credits,business,8318.0,Very Low,Very Long,2.0,Female,none,4.0,no known property,42.0,none,for free,2.0,High Qualified,1.0,yes,yes,bad
492,Unknown,6.0,,radio/tv,1237.0,Low,Medium,1.0,Female,none,1.0,life insurance,27.0,none,own,2.0,Qualified,1.0,none,yes,good
493,Medium,6.0,,radio/tv,368.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,38.0,none,own,1.0,Qualified,1.0,none,yes,good
494,Low,12.0,,new car,2122.0,Very Low,Medium,3.0,Male,none,2.0,real estate,39.0,none,rent,2.0,Unqualified,2.0,none,no,good
495,Low,24.0,,furniture/equipment,2996.0,Unknown,Medium,2.0,Male,none,4.0,car,20.0,none,own,1.0,Qualified,1.0,none,yes,bad
496,Medium,36.0,,furniture/equipment,9034.0,Low,Short,4.0,Male,co applicant,1.0,no known property,29.0,none,rent,1.0,High Qualified,1.0,yes,yes,bad
497,Unknown,24.0,,furniture/equipment,1585.0,Very Low,Long,4.0,Male,none,3.0,life insurance,40.0,none,own,2.0,Qualified,1.0,none,yes,good
498,Medium,18.0,,radio/tv,1301.0,Very Low,Very Long,4.0,Male,guarantor,2.0,real estate,32.0,none,own,1.0,Unqualified,1.0,none,yes,good
499,High,6.0,,new car,1323.0,Low,Very Long,2.0,Male,none,4.0,car,28.0,none,own,2.0,Qualified,2.0,yes,yes,good
500,Low,24.0,,new car,3123.0,Very Low,Short,4.0,Female,none,1.0,life insurance,27.0,none,own,1.0,Qualified,1.0,none,yes,bad
501,Low,36.0,,used car,5493.0,Very Low,Very Long,2.0,Male,none,4.0,no known property,42.0,none,for free,1.0,Qualified,2.0,none,yes,good
502,High,9.0,,radio/tv,1126.0,Low,Very Long,2.0,Male,none,4.0,real estate,49.0,none,own,1.0,Qualified,1.0,none,yes,good
503,Medium,24.0,,radio/tv,1216.0,Low,Short,4.0,Male,none,4.0,no known property,38.0,bank,own,2.0,Qualified,2.0,none,yes,bad
504,Low,24.0,,new car,1207.0,Very Low,Short,4.0,Female,none,4.0,life insurance,24.0,none,rent,1.0,Qualified,1.0,none,yes,bad
505,Unknown,10.0,,new car,1309.0,Unknown,Medium,4.0,Male,guarantor,4.0,life insurance,27.0,none,own,1.0,Unqualified,1.0,none,yes,bad
506,High,15.0,,used car,2360.0,Medium,Medium,2.0,Male,none,2.0,car,36.0,none,own,1.0,Qualified,1.0,yes,yes,good
507,Medium,15.0,,new car,6850.0,Low,,1.0,Male,none,2.0,life insurance,34.0,none,own,1.0,High Qualified,2.0,yes,yes,bad
508,Unknown,24.0,,radio/tv,1413.0,Very Low,Medium,4.0,Male,none,2.0,life insurance,28.0,none,own,1.0,Qualified,1.0,none,yes,good
509,Unknown,39.0,,used car,8588.0,Low,Very Long,4.0,Male,none,2.0,car,45.0,none,own,1.0,High Qualified,1.0,yes,yes,good
510,Low,12.0,,new car,759.0,Very Low,Long,4.0,Male,none,2.0,real estate,26.0,none,own,1.0,Qualified,1.0,none,yes,bad
511,Unknown,36.0,,used car,4686.0,Very Low,Medium,2.0,Male,none,2.0,no known property,32.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
512,High,15.0,,business,2687.0,Very Low,Long,2.0,Male,none,4.0,life insurance,26.0,none,rent,1.0,Qualified,1.0,yes,yes,good
513,Medium,12.0,,radio/tv,585.0,Very Low,Medium,4.0,Male,co applicant,4.0,real estate,20.0,none,rent,2.0,Qualified,1.0,none,yes,good
514,Unknown,24.0,,new car,2255.0,Unknown,Short,4.0,Male,none,1.0,life insurance,54.0,none,own,1.0,Qualified,1.0,none,yes,good
515,Low,6.0,,new car,609.0,Very Low,Long,4.0,Female,none,3.0,life insurance,37.0,none,own,2.0,Qualified,1.0,none,no,good
516,Low,6.0,,new car,1361.0,Very Low,Short,2.0,Male,none,4.0,real estate,40.0,none,own,1.0,Unqualified,2.0,none,no,good
517,Unknown,36.0,,furniture/equipment,7127.0,Very Low,Short,2.0,Female,none,4.0,life insurance,23.0,none,rent,2.0,Qualified,1.0,yes,yes,bad
518,Low,6.0,,new car,1203.0,Low,Very Long,3.0,Male,none,2.0,life insurance,43.0,none,own,1.0,Qualified,1.0,yes,yes,good
519,Unknown,6.0,,radio/tv,700.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,36.0,none,for free,2.0,Qualified,1.0,none,yes,good
520,Unknown,24.0,,repairs,5507.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,44.0,none,for free,2.0,Qualified,1.0,none,yes,good
521,Low,18.0,,radio/tv,3190.0,Very Low,Medium,2.0,Female,none,2.0,real estate,24.0,none,own,1.0,Qualified,1.0,none,yes,bad
522,Low,48.0,no credits,furniture/equipment,7119.0,Very Low,Medium,3.0,Male,none,4.0,no known property,53.0,none,for free,2.0,Qualified,2.0,none,yes,bad
523,Unknown,24.0,,used car,3488.0,Low,Long,3.0,Female,none,4.0,car,23.0,none,own,1.0,Qualified,1.0,none,yes,good
524,Medium,18.0,,radio/tv,1113.0,Very Low,Medium,4.0,Female,guarantor,4.0,real estate,26.0,none,own,1.0,Unqualified,2.0,none,yes,good
525,Medium,26.0,,used car,7966.0,Very Low,Short,2.0,Male,none,3.0,car,30.0,none,own,2.0,Qualified,1.0,none,yes,good
526,Unknown,15.0,,education,1532.0,Low,Medium,4.0,Female,none,3.0,car,31.0,none,own,1.0,Qualified,1.0,none,yes,good
527,Unknown,4.0,,radio/tv,1503.0,Very Low,Long,2.0,Male,none,1.0,real estate,42.0,none,own,2.0,Unqualified,2.0,none,yes,good
528,Low,36.0,,radio/tv,2302.0,Very Low,Medium,4.0,Male,none,4.0,car,31.0,none,rent,1.0,Qualified,1.0,none,yes,bad
529,Low,6.0,,new car,662.0,Very Low,Short,3.0,Male,none,4.0,real estate,41.0,none,own,1.0,Unqualified,2.0,yes,yes,good
530,Medium,36.0,,education,2273.0,Very Low,Long,3.0,Male,none,1.0,car,32.0,none,own,2.0,Qualified,2.0,none,yes,good
531,Medium,15.0,,new car,2631.0,Low,Medium,2.0,Female,none,4.0,car,28.0,none,rent,2.0,Qualified,1.0,yes,yes,bad
532,Unknown,12.0,,used car,1503.0,Very Low,Medium,4.0,Male,none,4.0,real estate,41.0,none,rent,1.0,Qualified,1.0,none,yes,good
533,Unknown,24.0,,radio/tv,1311.0,Low,Long,4.0,Male,none,3.0,life insurance,26.0,none,own,1.0,Qualified,1.0,yes,yes,good
534,Unknown,24.0,,radio/tv,3105.0,Unknown,Short,4.0,Male,none,2.0,car,25.0,none,own,2.0,Qualified,1.0,none,yes,good
535,High,21.0,,education,2319.0,Very Low,Short,2.0,Male,none,1.0,car,33.0,none,rent,1.0,Qualified,1.0,none,yes,bad
536,Low,6.0,,new car,1374.0,Unknown,,4.0,Female,none,3.0,life insurance,75.0,none,own,1.0,High Qualified,1.0,yes,yes,good
537,Medium,18.0,,furniture/equipment,3612.0,Very Low,Very Long,3.0,Female,none,4.0,life insurance,37.0,none,own,1.0,Qualified,1.0,yes,yes,good
538,Low,48.0,,new car,7763.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,42.0,bank,for free,1.0,High Qualified,1.0,none,yes,bad
539,High,18.0,,furniture/equipment,3049.0,Very Low,Short,1.0,Female,none,1.0,life insurance,45.0,stores,own,1.0,Unqualified,1.0,none,yes,good
540,Medium,12.0,,radio/tv,1534.0,Very Low,Short,1.0,Male,none,1.0,real estate,23.0,none,rent,1.0,Qualified,1.0,none,yes,bad
541,Unknown,24.0,,new car,2032.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,60.0,none,for free,2.0,Qualified,1.0,yes,yes,good
542,Low,30.0,,furniture/equipment,6350.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,31.0,none,own,1.0,Qualified,1.0,none,yes,bad
543,High,18.0,,furniture/equipment,2864.0,Very Low,Medium,2.0,Male,none,1.0,real estate,34.0,none,own,1.0,Unqualified,2.0,none,yes,bad
544,Unknown,12.0,,new car,1255.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,61.0,none,own,2.0,Unqualified,1.0,none,yes,good
545,Low,24.0,,new car,1333.0,Very Low,,4.0,Male,none,2.0,real estate,43.0,none,for free,2.0,Qualified,2.0,none,yes,bad
546,Unknown,24.0,,new car,2022.0,Very Low,Medium,4.0,Female,none,4.0,car,37.0,none,own,1.0,Qualified,1.0,yes,yes,good
547,Unknown,24.0,,radio/tv,1552.0,Very Low,Long,3.0,Male,none,1.0,car,32.0,bank,own,1.0,Qualified,2.0,none,yes,good
548,Low,12.0,,radio/tv,626.0,Very Low,Medium,4.0,Female,none,4.0,real estate,24.0,bank,own,1.0,Unqualified,1.0,none,yes,bad
549,Unknown,48.0,,used car,8858.0,Unknown,Long,2.0,Male,none,1.0,no known property,35.0,none,for free,2.0,Qualified,1.0,yes,yes,good
550,Unknown,12.0,,repairs,996.0,Unknown,Long,4.0,Female,none,4.0,real estate,23.0,none,own,2.0,Qualified,1.0,none,yes,good
551,Unknown,6.0,,radio/tv,1750.0,Medium,Very Long,2.0,Male,none,4.0,life insurance,45.0,bank,own,1.0,Unqualified,2.0,none,yes,good
